scientific_name,park_name,observations,common_names,category,conservation_status
Abies bifolia,Bryce National Park,109,Rocky Mountain Alpine Fir,Vascular Plant,Not Protected
Abies bifolia,Great Smoky Mountains National Park,72,Rocky Mountain Alpine Fir,Vascular Plant,Not Protected
Abies bifolia,Yellowstone National Park,215,Rocky Mountain Alpine Fir,Vascular Plant,Not Protected
Abies bifolia,Yosemite National Park,136,Rocky Mountain Alpine Fir,Vascular Plant,Not Protected
Abies concolor,Bryce National Park,83,"Balsam Fir, Colorado Fir, Concolor Fir, Silver Fir, White Balsam, White Fir",Vascular Plant,Not Protected
Abies concolor,Great Smoky Mountains National Park,101,"Balsam Fir, Colorado Fir, Concolor Fir, Silver Fir, White Balsam, White Fir",Vascular Plant,Not Protected
Abies concolor,Yellowstone National Park,241,"Balsam Fir, Colorado Fir, Concolor Fir, Silver Fir, White Balsam, White Fir",Vascular Plant,Not Protected
Abies concolor,Yosemite National Park,205,"Balsam Fir, Colorado Fir, Concolor Fir, Silver Fir, White Balsam, White Fir",Vascular Plant,Not Protected
Abies fraseri,Bryce National Park,109,Fraser Fir,Vascular Plant,Species of Concern
Abies fraseri,Great Smoky Mountains National Park,81,Fraser Fir,Vascular Plant,Species of Concern
Abies fraseri,Yellowstone National Park,218,Fraser Fir,Vascular Plant,Species of Concern
Abies fraseri,Yosemite National Park,110,Fraser Fir,Vascular Plant,Species of Concern
Abietinella abietina,Bryce National Park,101,Abietinella Moss,Nonvascular Plant,Not Protected
Abietinella abietina,Great Smoky Mountains National Park,65,Abietinella Moss,Nonvascular Plant,Not Protected
Abietinella abietina,Yellowstone National Park,243,Abietinella Moss,Nonvascular Plant,Not Protected
Abietinella abietina,Yosemite National Park,183,Abietinella Moss,Nonvascular Plant,Not Protected
Abronia ammophila,Bryce National Park,92,"Wyoming Sand Verbena, Yellowstone Sand Verbena",Vascular Plant,Species of Concern
Abronia ammophila,Great Smoky Mountains National Park,72,"Wyoming Sand Verbena, Yellowstone Sand Verbena",Vascular Plant,Species of Concern
Abronia ammophila,Yellowstone National Park,222,"Wyoming Sand Verbena, Yellowstone Sand Verbena",Vascular Plant,Species of Concern
Abronia ammophila,Yosemite National Park,137,"Wyoming Sand Verbena, Yellowstone Sand Verbena",Vascular Plant,Species of Concern
Abutilon theophrasti,Bryce National Park,84,Velvetleaf,Vascular Plant,Not Protected
Abutilon theophrasti,Great Smoky Mountains National Park,85,Velvetleaf,Vascular Plant,Not Protected
Abutilon theophrasti,Yellowstone National Park,262,Velvetleaf,Vascular Plant,Not Protected
Abutilon theophrasti,Yosemite National Park,138,Velvetleaf,Vascular Plant,Not Protected
Acalypha gracilens,Bryce National Park,68,"Narrow-Leaved Three-Seeded Mercury, Slender Copperleaf",Vascular Plant,Not Protected
Acalypha gracilens,Great Smoky Mountains National Park,98,"Narrow-Leaved Three-Seeded Mercury, Slender Copperleaf",Vascular Plant,Not Protected
Acalypha gracilens,Yellowstone National Park,263,"Narrow-Leaved Three-Seeded Mercury, Slender Copperleaf",Vascular Plant,Not Protected
Acalypha gracilens,Yosemite National Park,160,"Narrow-Leaved Three-Seeded Mercury, Slender Copperleaf",Vascular Plant,Not Protected
Acalypha ostryifolia,Bryce National Park,95,"Hornbeam Copper-Leaf, Hornbeam-Leaved Three-Seeded Mercury",Vascular Plant,Not Protected
Acalypha ostryifolia,Great Smoky Mountains National Park,112,"Hornbeam Copper-Leaf, Hornbeam-Leaved Three-Seeded Mercury",Vascular Plant,Not Protected
Acalypha ostryifolia,Yellowstone National Park,243,"Hornbeam Copper-Leaf, Hornbeam-Leaved Three-Seeded Mercury",Vascular Plant,Not Protected
Acalypha ostryifolia,Yosemite National Park,150,"Hornbeam Copper-Leaf, Hornbeam-Leaved Three-Seeded Mercury",Vascular Plant,Not Protected
Acalypha rhomboidea,Bryce National Park,90,"Common Threeseed Mercury, Virginia Threeseed Mercury",Vascular Plant,Not Protected
Acalypha rhomboidea,Great Smoky Mountains National Park,96,"Common Threeseed Mercury, Virginia Threeseed Mercury",Vascular Plant,Not Protected
Acalypha rhomboidea,Yellowstone National Park,245,"Common Threeseed Mercury, Virginia Threeseed Mercury",Vascular Plant,Not Protected
Acalypha rhomboidea,Yosemite National Park,144,"Common Threeseed Mercury, Virginia Threeseed Mercury",Vascular Plant,Not Protected
Acalypha virginica,Bryce National Park,108,"Virginia Copperleaf, Virginia Threeseed Mercury",Vascular Plant,Not Protected
Acalypha virginica,Great Smoky Mountains National Park,80,"Virginia Copperleaf, Virginia Threeseed Mercury",Vascular Plant,Not Protected
Acalypha virginica,Yellowstone National Park,229,"Virginia Copperleaf, Virginia Threeseed Mercury",Vascular Plant,Not Protected
Acalypha virginica,Yosemite National Park,143,"Virginia Copperleaf, Virginia Threeseed Mercury",Vascular Plant,Not Protected
Acanthus flammea,Bryce National Park,95,"Common Redpoll, Redpoll",Bird,Not Protected
Acanthus flammea,Great Smoky Mountains National Park,68,"Common Redpoll, Redpoll",Bird,Not Protected
Acanthus flammea,Yellowstone National Park,241,"Common Redpoll, Redpoll",Bird,Not Protected
Acanthus flammea,Yosemite National Park,120,"Common Redpoll, Redpoll",Bird,Not Protected
Accipiter cooperii,Bryce National Park,95,Cooper's Hawk,Bird,Species of Concern
Accipiter cooperii,Great Smoky Mountains National Park,65,Cooper's Hawk,Bird,Species of Concern
Accipiter cooperii,Yellowstone National Park,245,Cooper's Hawk,Bird,Species of Concern
Accipiter cooperii,Yosemite National Park,138,Cooper's Hawk,Bird,Species of Concern
Accipiter gentilis,Bryce National Park,109,Northern Goshawk,Bird,Not Protected
Accipiter gentilis,Great Smoky Mountains National Park,78,Northern Goshawk,Bird,Not Protected
Accipiter gentilis,Yellowstone National Park,232,Northern Goshawk,Bird,Not Protected
Accipiter gentilis,Yosemite National Park,163,Northern Goshawk,Bird,Not Protected
Accipiter striatus,Bryce National Park,62,Sharp-Shinned Hawk,Bird,Species of Concern
Accipiter striatus,Great Smoky Mountains National Park,69,Sharp-Shinned Hawk,Bird,Species of Concern
Accipiter striatus,Yellowstone National Park,200,Sharp-Shinned Hawk,Bird,Species of Concern
Accipiter striatus,Yosemite National Park,115,Sharp-Shinned Hawk,Bird,Species of Concern
Acer glabrum,Bryce National Park,30,Rocky Mountain Maple,Vascular Plant,Not Protected
Acer glabrum,Great Smoky Mountains National Park,123,Rocky Mountain Maple,Vascular Plant,Not Protected
Acer glabrum,Yellowstone National Park,247,Rocky Mountain Maple,Vascular Plant,Not Protected
Acer glabrum,Yosemite National Park,124,Rocky Mountain Maple,Vascular Plant,Not Protected
Acer glabrum var. torreyi,Bryce National Park,84,Torrey's Maple,Vascular Plant,Not Protected
Acer glabrum var. torreyi,Great Smoky Mountains National Park,75,Torrey's Maple,Vascular Plant,Not Protected
Acer glabrum var. torreyi,Yellowstone National Park,282,Torrey's Maple,Vascular Plant,Not Protected
Acer glabrum var. torreyi,Yosemite National Park,160,Torrey's Maple,Vascular Plant,Not Protected
Acer leucoderme,Bryce National Park,125,Chalk Maple,Vascular Plant,Not Protected
Acer leucoderme,Great Smoky Mountains National Park,107,Chalk Maple,Vascular Plant,Not Protected
Acer leucoderme,Yellowstone National Park,256,Chalk Maple,Vascular Plant,Not Protected
Acer leucoderme,Yosemite National Park,140,Chalk Maple,Vascular Plant,Not Protected
Acer macrophyllum,Bryce National Park,105,Bigleaf Maple,Vascular Plant,Not Protected
Acer macrophyllum,Great Smoky Mountains National Park,33,Bigleaf Maple,Vascular Plant,Not Protected
Acer macrophyllum,Yellowstone National Park,252,Bigleaf Maple,Vascular Plant,Not Protected
Acer macrophyllum,Yosemite National Park,134,Bigleaf Maple,Vascular Plant,Not Protected
Acer negundo,Bryce National Park,92,"Boxelder, Box-Elder",Vascular Plant,Not Protected
Acer negundo,Great Smoky Mountains National Park,72,"Boxelder, Box-Elder",Vascular Plant,Not Protected
Acer negundo,Yellowstone National Park,257,"Boxelder, Box-Elder",Vascular Plant,Not Protected
Acer negundo,Yosemite National Park,179,"Boxelder, Box-Elder",Vascular Plant,Not Protected
Acer negundo var. violaceum,Bryce National Park,91,Boxelder,Vascular Plant,Not Protected
Acer negundo var. violaceum,Great Smoky Mountains National Park,84,Boxelder,Vascular Plant,Not Protected
