scientific_name,common_names,category,conservation_status
Abies bifolia,Rocky Mountain Alpine Fir,Vascular Plant,
Abies concolor,"Balsam Fir, Colorado Fir, Concolor Fir, Silver Fir, White Balsam, White Fir",Vascular Plant,
Abies fraseri,Fraser Fir,Vascular Plant,Species of Concern
Abietinella abietina,Abietinella Moss,Nonvascular Plant,
Abronia ammophila,"Wyoming Sand Verbena, Yellowstone Sand Verbena",Vascular Plant,Species of Concern
Abutilon theophrasti,Velvetleaf,Vascular Plant,
Acalypha gracilens,"Narrow-Leaved Three-Seeded Mercury, Slender Copperleaf",Vascular Plant,
Acalypha ostryifolia,"Hornbeam Copper-Leaf, Hornbeam-Leaved Three-Seeded Mercury",Vascular Plant,
Acalypha rhomboidea,"Common Threeseed Mercury, Virginia Threeseed Mercury",Vascular Plant,
Acalypha virginica,"Virginia Copperleaf, Virginia Threeseed Mercury",Vascular Plant,
Acanthus flammea,"Common Redpoll, Redpoll",Bird,
Accipiter cooperii,Cooper's Hawk,Bird,Species of Concern
Accipiter gentilis,Northern Goshawk,Bird,
Accipiter striatus,Sharp-Shinned Hawk,Bird,Species of Concern
Acer glabrum,Rocky Mountain Maple,Vascular Plant,
Acer glabrum var. torreyi,Torrey's Maple,Vascular Plant,
Acer leucoderme,Chalk Maple,Vascular Plant,
Acer macrophyllum,Bigleaf Maple,Vascular Plant,
Acer negundo,"Boxelder, Box-Elder",Vascular Plant,
Acer negundo var. violaceum,Boxelder,Vascular Plant,
Acer nigrum,Black Maple,Vascular Plant,
Acer pensylvanicum,"Striped Maple, Striped Maple, Moosewood",Vascular Plant,
Acer platanoides,Norway Maple,Vascular Plant,
Acer rubrum var. rubrum,Red Maple,Vascular Plant,
Acer rubrum var. trilobum,Trident Maple,Vascular Plant,
Acer saccharinum,Silver Maple,Vascular Plant,
Acer saccharum,Sugar Maple,Vascular Plant,
Acer spicatum,Mountain Maple,Vascular Plant,
Achillea millefolium,"Bloodwort, Carpenter's Weed, Common Yarrow, Hierba De Las Cortaduras, Milenrama, Milfoil, Plumajillo, Western Yarrow, Yarrow",Vascular Plant,
Achillea millefolium var. occidentalis,Yarrow,Vascular Plant,
Achnatherum X bloomeri,"Achnatherum, Bloomer Ricegrass, Bloomer's Ricegrass",Vascular Plant,
Achnatherum contractum,Contracted Ricegrass,Vascular Plant,Species of Concern
Achnatherum hymenoides,Indian Ricegrass,Vascular Plant,
Achnatherum latiglume,Sierra Needlegrass,Vascular Plant,
Achnatherum lemmonii,Lemmon's Needlegrass,Vascular Plant,
Achnatherum lettermanii,"Letterman Needlegrass, Letterman's Needlegrass",Vascular Plant,
Achnatherum nelsonii ssp. dorei,"Columbia Needlegrass, Dore's Needlegrass",Vascular Plant,
Achnatherum nevadense,Nevada Needlegrass,Vascular Plant,
Achnatherum occidentale,Western Needlegrass,Vascular Plant,
Achnatherum occidentale ssp. californicum,California Needlegrass,Vascular Plant,
Achnatherum occidentale ssp. occidentale,"Western Needle Grass, Western Needlegrass",Vascular Plant,
Achnatherum occidentale ssp. pubescens,"Elmer's Needlegrass, Pubescent Western Needlegrass",Vascular Plant,
Achnatherum pinetorum,"Pine Needlegrass, Pine-Forest Needle Grass, Pinewoods Needlegrass",Vascular Plant,
